EGID,BAUJ,BAUJK,FLAE,GES,GKAT,n_eingange,GDEKT,GDENAME,GDENR,STRNAME,DEINR,PLZ4,PLZNAME,Latitude,Longitude,CH_BEZ_D,BAUJK_qual,FLAE_qual,GES_qual,EBF,Nutzung,HGT,co2_m2,co2,kwh_m2,kwh
1,1984,1981-1985,122,2,Gebäude mit teilweiser Wohnnutzung,2,ZH,Affoltern am Albis,2,Grossholzerstrasse,20,8910,Affoltern am Albis,47.26912,8.449096,ausserhalb Bauzonen,1,0,1,97.60000000000001,Rest,3112,24.11903142965101,2354.0174675339385,107.27098672832796,10469.64830468481
"107,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,3,8910,Affoltern am Albis,47.2734,8.451644,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"108,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,5,8910,Affoltern am Albis,47.27313,8.451858,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"109,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,7,8910,Affoltern am Albis,47.27315,8.451668,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"116,1980,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,21,8910,Affoltern am Albis,47.27218,8.452,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"122,1960,1946-1960,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",15,ZH,Affoltern am Albis,2,Gartenstrasse,16,8910,Affoltern am Albis,47.27388,8.4515,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,31.64339660567432,6176.791017427628,132.50299751025014,25864.58511400083"
"128,1953,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Gartenstrasse,8,8910,Affoltern am Albis,47.27459,8.45159,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"134,1965,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenhof,2,8910,Affoltern am Albis,47.27524,8.451976,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"139,1780,Vor 1919,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",3,ZH,Affoltern am Albis,2,Tannholzstrasse,3,8910,Affoltern am Albis,47.27653,8.452499,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"141,1968,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",13,ZH,Affoltern am Albis,2,Tannholzstrasse,6,8910,Affoltern am Albis,47.27617,8.452556,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
142,1962,1961-1970,122,3,Wohngebäude mit Nebennutzung,6,ZH,Affoltern am Albis,2,Tannholzstrasse,7,8910,Affoltern am Albis,47.27635,8.452975,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376
"146,1961,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",9,ZH,Affoltern am Albis,2,Im Welschland,4,8910,Affoltern am Albis,47.27627,8.452093,Zentrumszonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"151,1963,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",7,ZH,Affoltern am Albis,2,Im Welschland,18,8910,Affoltern am Albis,47.27528,8.45279,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"155,1900,Vor 1919,122,2,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Tannholzstrasse,28a,8910,Affoltern am Albis,47.27473,8.452898,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
